path,top_level,required_area,role,extension,file_name,size_bytes,line_count,git_blob_sha,index_control_note,action_decision
asbp/ai_evaluation/quality_gates.py,asbp,asbp,Runtime module,.py,quality_gates.py,32257,861,52fd9eac1712edbfcc7b230644a88bb2623ccd1d,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_evaluation/retrieval_use_rules.py,asbp,asbp,Runtime module,.py,retrieval_use_rules.py,38626,969,209b5509ef51e6059be3d27fe4c0e63218072753,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_evaluation/standards_detail_checks.py,asbp,asbp,Runtime module,.py,standards_detail_checks.py,37407,1000,27fbe1b24da5c2323b19edcf9fa077e4f0a16f66,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_runtime/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,8405,217,f8e1cf3293a65fc1be0affbfe0a43850ca08777f,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_runtime/context_packaging.py,asbp,asbp,Runtime module,.py,context_packaging.py,19033,533,f2fcd3d28b6c1871b00c8d0dcafb3836894d5367,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_runtime/generation_modes.py,asbp,asbp,Runtime module,.py,generation_modes.py,22959,634,3727365d7b1fb1773e766ff8375f8dcecf83d5a3,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_runtime/output_acceptance.py,asbp,asbp,Runtime module,.py,output_acceptance.py,29775,734,4948b4f987f85cf754da1836446e359f931f0d8f,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_runtime/runtime_boundary.py,asbp,asbp,Runtime module,.py,runtime_boundary.py,14123,424,980f03b8733b142b51a58b9466638a37151b5c96,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_workflow/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,18888,415,a0da9fcc7cef08c558455d2c8ecad53abfd45f15,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_workflow/recommendation_behavior.py,asbp,asbp,Runtime module,.py,recommendation_behavior.py,36590,784,e9c6630313a45b2d63923ed02dc98d4d084c0165,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_workflow/review_assistance.py,asbp,asbp,Runtime module,.py,review_assistance.py,23712,530,4a8a7907006e1de3e027b820a0d561ff4be08296,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_workflow/summarization_reporting.py,asbp,asbp,Runtime module,.py,summarization_reporting.py,30108,664,a0644da513c4da060fcb362fadd036486d98903a,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_workflow/workflow_expansion_boundaries.py,asbp,asbp,Runtime module,.py,workflow_expansion_boundaries.py,34409,728,e4b4f75e24e09a4696f619d743a1c7f6ebde3107,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/api/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,2409,89,9ee91a4e75c862d9ead65e92fc804f0ebf7ae5bb,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/api/boundary.py,asbp,asbp,Runtime module,.py,boundary.py,1288,49,76deee3fa4166a4bcb660dc9198b394e9a1ef6c9,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/api/command_intake.py,asbp,asbp,Runtime module,.py,command_intake.py,8906,253,3df893339c4fef94d948f6a887641982b2bd2868,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/api/contracts.py,asbp,asbp,Runtime module,.py,contracts.py,5151,156,64256fdf8442ebfac85537264655e515f1d7ba5b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/api/read_surface.py,asbp,asbp,Runtime module,.py,read_surface.py,5379,157,57c5b2bad6318743e3bc7cc307bc467247302cc3,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/api/safety.py,asbp,asbp,Runtime module,.py,safety.py,5276,162,2fb3d2b2e25aee4b7745e3e224dd6304b31a4fc0,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/api/service_boundary.py,asbp,asbp,Runtime module,.py,service_boundary.py,4166,131,18fec6c8b1c13019852e89504d0f8f225184204c,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/binding_context_logic.py,asbp,asbp,Runtime module,.py,binding_context_logic.py,2978,100,89edcf327a93bf77ff6fb625e365f403b559734e,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/calendar_source_model.py,asbp,asbp,Runtime/source contract model,.py,calendar_source_model.py,7553,164,3733d55bbc7140cf3488f91086972c0515043c5e,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/calendar_source_store.py,asbp,asbp,Store/loader/persistence boundary,.py,calendar_source_store.py,2244,63,74f1b05a428c0383d7288c7276524d3cb9cae43a,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/cli.py,asbp,asbp,Runtime module,.py,cli.py,65806,2266,eca846a3274c8b62112b4f73e5d558dca121aeca,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/collection_logic.py,asbp,asbp,Runtime module,.py,collection_logic.py,16364,502,bf584d3bcde62ad15e7c6ea0b6a971b1449b9f2b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/controlled_drafting.py,asbp,asbp,Runtime module,.py,controlled_drafting.py,12326,347,0323c3ee5c0b66cf29a00154c9a6570cd9ced326,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/controlled_drafting_model.py,asbp,asbp,Runtime/source contract model,.py,controlled_drafting_model.py,12012,283,abfd743490605b940e9933c6391b73b26f26bcce,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/controlled_drafting_store.py,asbp,asbp,Store/loader/persistence boundary,.py,controlled_drafting_store.py,3108,98,245b65930a9db4a28fb2e382b9ef375ff5f2bee5,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,354,21,2532dc4a0136246b5fc698db904251971d8d0254,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/binding_context.py,asbp,asbp,Runtime module,.py,binding_context.py,124,3,795e76eee252c48d77901779b3b0e6549ee73537,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/collections.py,asbp,asbp,Runtime module,.py,collections.py,121,3,5402acba8a631cb43d7e37fb063e6ed84658c7b4,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/models.py,asbp,asbp,Runtime module,.py,models.py,116,3,b1de506decf4f98345b73cfe4f9a2097b22c0a15,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/planning.py,asbp,asbp,Runtime module,.py,planning.py,110,3,0588b8e4d5057250e566f7824f1c6f6b7b07b0d1,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/source_of_work.py,asbp,asbp,Runtime module,.py,source_of_work.py,122,3,3ad27c85a3a7921a271825fb4c7d0e06a04881ff,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/tasks.py,asbp,asbp,Runtime module,.py,tasks.py,109,3,b8bc30f40e56b9fb7bbadd10de5ad81a399154d7,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/core/work_packages.py,asbp,asbp,Runtime module,.py,work_packages.py,125,3,fc886f870a1c9f093d618d948e848c90d4946087,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/cross_library_validation.py,asbp,asbp,Runtime module,.py,cross_library_validation.py,17569,454,d6d103997f21c39369364b7390eccbcf54a8eb1c,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/cross_library_validation_model.py,asbp,asbp,Runtime/source contract model,.py,cross_library_validation_model.py,2904,97,c42f4a479b6732e0160849b67deef69f7ffb4382,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,9609,255,80b57e43c7da7cd38665c05b8ad4f412136ad3fd,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/artifact_lifecycle.py,asbp,asbp,Runtime module,.py,artifact_lifecycle.py,23486,585,d705b525e2e174333992c37d65183e8dfef9af39,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/authoring_controls.py,asbp,asbp,Runtime module,.py,authoring_controls.py,14925,403,1eab699ab22758770fd5777b0c691abb4a80004e,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/dcf_intake.py,asbp,asbp,Runtime module,.py,dcf_intake.py,14214,411,ba347ae5d4e112c887c7a0ef79466403826fd749,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/document_contracts.py,asbp,asbp,Runtime module,.py,document_contracts.py,11648,364,0770e03fcf297de7d49800e81e3d2881b4bead4b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/standards_guardrails.py,asbp,asbp,Runtime module,.py,standards_guardrails.py,22099,529,57368d050787c2a45b83c4730c471f2f8fae9808,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/template_governance.py,asbp,asbp,Runtime module,.py,template_governance.py,6426,200,ce8baf27bd392251b554fa428b2976e646ea2a8a,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_engine/workflow_integration.py,asbp,asbp,Runtime module,.py,workflow_integration.py,21455,612,9f5b6813fdbdbcc2dc8b1334faf3dc0b8007c603,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_input_dependency_model.py,asbp,asbp,Runtime/source contract model,.py,document_input_dependency_model.py,17176,445,8f8f36bb8234345772f3867630c34314fc33a9ea,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_input_dependency_store.py,asbp,asbp,Store/loader/persistence boundary,.py,document_input_dependency_store.py,4967,155,f34af36dd586b268df4bfe4f009b76a953e91729,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_input_schema_binding.py,asbp,asbp,Runtime module,.py,document_input_schema_binding.py,3707,105,9b9a48e71137abdc2244c214ab010ebc70988060,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_input_schema_model.py,asbp,asbp,Runtime/source contract model,.py,document_input_schema_model.py,11931,288,8201a81658e0a8a45a6bf9e910882ca84be3a00c,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_input_schema_store.py,asbp,asbp,Store/loader/persistence boundary,.py,document_input_schema_store.py,3320,120,4bfc014940139cce45080f0b8022758fc35e4c30,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_lifecycle.py,asbp,asbp,Runtime module,.py,document_lifecycle.py,7553,184,10f74e4b252ae337c477570ca8d0aa0a5d2c6dda,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_lifecycle_model.py,asbp,asbp,Runtime/source contract model,.py,document_lifecycle_model.py,14653,330,1a1138db843449f63b17656f814efc8f3cf056a5,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_lifecycle_store.py,asbp,asbp,Store/loader/persistence boundary,.py,document_lifecycle_store.py,2507,79,f862babde7ee3b32e1b98158b0cb588f55612f3e,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_template_body_model.py,asbp,asbp,Runtime/source contract model,.py,document_template_body_model.py,9293,245,d7b748282c767264e2644605b38d2939be9b84b9,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_template_body_store.py,asbp,asbp,Store/loader/persistence boundary,.py,document_template_body_store.py,3773,141,49961d5e39b504146c9d6e3d7ee15b5e05c15786,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_template_model.py,asbp,asbp,Runtime/source contract model,.py,document_template_model.py,7525,181,7d5185d8250e9641c1a2e8b8113cbb23b07997f0,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/document_template_store.py,asbp,asbp,Store/loader/persistence boundary,.py,document_template_store.py,3039,106,dd1a91d8dd3d34db6986618ced1cd78e042db989,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/export_engine/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,14465,393,dd2ce5c54b966a3d4d4de622e518b109182dc17b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/export_engine/dashboard_surfaces.py,asbp,asbp,Runtime module,.py,dashboard_surfaces.py,20303,586,58b0cb6dfb14e62992bb83f09d96d7d33f2059fa,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/export_engine/export_contracts.py,asbp,asbp,Runtime module,.py,export_contracts.py,15220,479,6837bc1c698c2c70ef97ab9cd0de68609ce748fb,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/export_engine/export_invocation.py,asbp,asbp,Runtime module,.py,export_invocation.py,28319,755,b38722096a1b60fcf93c3824e41ac6d20d80c2e6,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/export_engine/gantt_surfaces.py,asbp,asbp,Runtime module,.py,gantt_surfaces.py,18616,546,e15abc2d69264cc21b36fbc7f217013a40c25826,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/export_engine/reporting_surfaces.py,asbp,asbp,Runtime module,.py,reporting_surfaces.py,18551,522,d134f1fb9066dd74e95b80233e2aaec3c447b0e1,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/export_engine/spreadsheet_surfaces.py,asbp,asbp,Runtime module,.py,spreadsheet_surfaces.py,17721,539,b1fa530f887c339f1c6093e73c9196a2e820132b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/external_surface/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,5217,141,dd9e6ed43ae081d59d32280e79ea0654139e1e1b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/external_surface/_normalization.py,asbp,asbp,Runtime module,.py,_normalization.py,1126,35,9cc77bdc3db0aa77fba85220e0770c9d7d7af030,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/external_surface/acceptance.py,asbp,asbp,Runtime module,.py,acceptance.py,15376,372,e0c0ae649d8d506502904c66224a29b5c0b170ff,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/external_surface/boundary.py,asbp,asbp,Runtime module,.py,boundary.py,4504,122,155cb7af263feb3b9a532c3ea9d61fe174bc0d73,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/external_surface/consistency.py,asbp,asbp,Runtime module,.py,consistency.py,13631,379,a413a53b1231feb4cc43a090ae6575022d4d7b7c,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/external_surface/contracts.py,asbp,asbp,Runtime module,.py,contracts.py,13165,372,18c2fb8b1bbdf35344615fd181b8661f0ffd002b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/external_surface/governance.py,asbp,asbp,Runtime module,.py,governance.py,15455,400,bfc8f63f38eca563bfead2d06f6a0f52f86399f0,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/generation_surface_logic.py,asbp,asbp,Runtime module,.py,generation_surface_logic.py,3375,83,ccf2f20f77fd36a872cee0e812efcecd30fa6ef0,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/governed_library/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,5203,133,2fd2f8ad9fd1070292a98ed546e75d199f222af5,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/governed_library/coverage_pack.py,asbp,asbp,Runtime module,.py,coverage_pack.py,28973,814,8fddad9a5a175cc3114bb5606786c5a7cd3f47fe,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/governed_library/library_release_validation.py,asbp,asbp,Runtime module,.py,library_release_validation.py,19638,551,d8670a3e7fe65e9641e82f56eb2125f726d50abb,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/governed_library/service_hardening.py,asbp,asbp,Runtime module,.py,service_hardening.py,15001,411,29e2a6282c7229cd2b7cf60a11f5da9b2a8d7fa5,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/mapping_source_model.py,asbp,asbp,Runtime/source contract model,.py,mapping_source_model.py,6654,131,011f21d8181580a172d8946b31fd02cbfa170b02,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/mapping_source_store.py,asbp,asbp,Store/loader/persistence boundary,.py,mapping_source_store.py,3103,71,5a74c8c5f6034d820aa45d74bc7c52b4eaf0d7e5,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/orchestration_logic.py,asbp,asbp,Runtime module,.py,orchestration_logic.py,6888,200,923e9e3134fd2add0a3184cdc8f310a90d85acdd,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_acceptance_logic.py,asbp,asbp,Runtime module,.py,output_acceptance_logic.py,5965,167,dad0e738d6eec566bdf72c4da182b51564534b63,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_consistency_logic.py,asbp,asbp,Runtime module,.py,output_consistency_logic.py,3812,107,3a4123d886cfc3b6ba43f7dde061478427f214b5,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_contract_logic.py,asbp,asbp,Runtime module,.py,output_contract_logic.py,2945,78,70e53730a9c93a5160c1eb2cd468a402a5cf29fd,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_failure_logic.py,asbp,asbp,Runtime module,.py,output_failure_logic.py,7132,197,5dcb55ad07efdaf4b2db6398d65255ee0214974d,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_family_logic.py,asbp,asbp,Runtime module,.py,output_family_logic.py,4180,117,368f99874ffa5f90c396c027eb219479eb5ad47b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_mapping_logic.py,asbp,asbp,Runtime module,.py,output_mapping_logic.py,4431,121,35fca0e5cd7e8d44560ba39f441c8dbc7ff77db4,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_retry_logic.py,asbp,asbp,Runtime module,.py,output_retry_logic.py,2610,69,e3e28c7a9342017431929691bba24aef525a9f64,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_surface_helpers.py,asbp,asbp,Runtime module,.py,output_surface_helpers.py,1195,44,fbf32808a51b76f8e2a21894d8155cfcbc28638b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_target_logic.py,asbp,asbp,Runtime module,.py,output_target_logic.py,2452,69,c0f56917daaaf5240de0b48992944de591e9897b,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_validation.py,asbp,asbp,Runtime module,.py,output_validation.py,8527,260,fe31fbd9e7689dbff4e09cce3cb76cb080fa86b2,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_validation_helpers.py,asbp,asbp,Runtime module,.py,output_validation_helpers.py,1509,50,2a4c5cbca66d5a95622a9cbdb190f68157ab1cf8,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_validation_logic.py,asbp,asbp,Runtime module,.py,output_validation_logic.py,4335,138,d2e0aea1381b18c8ceda52d0eccb7443ab355194,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_validation_model.py,asbp,asbp,Runtime/source contract model,.py,output_validation_model.py,9894,237,e2edb86d2b14dc256dad42d7f3c20027d84fd01f,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/output_validation_store.py,asbp,asbp,Store/loader/persistence boundary,.py,output_validation_store.py,2751,90,934357f929ad184dc9e24a2d221328484c063605,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/planning_basis_source_model.py,asbp,asbp,Runtime/source contract model,.py,planning_basis_source_model.py,5137,115,6c3141b334c5f682f13a667efe952913dbe1ba47,Python model or contract implementation.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/planning_basis_source_store.py,asbp,asbp,Store/loader/persistence boundary,.py,planning_basis_source_store.py,2795,65,52936680c3ea24ae5d37411d632e738e4cf104b8,"Python store, loader, persistence, or source-access boundary.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
